image_name,avg_surface
/Volumes/Backup Plus/ds/autonomous_cars/KITTI/data_object_image_2/training/image_2/003249.png,54.90529209876936
/Volumes/Backup Plus/ds/autonomous_cars/KITTI/data_object_image_2/training/image_2/004526.png,21.514120675678843
/Volumes/Backup Plus/ds/autonomous_cars/KITTI/data_object_image_2/training/image_2/002816.png,10.338761682915258
/Volumes/Backup Plus/ds/autonomous_cars/KITTI/data_object_image_2/training/image_2/001489.png,17.90923009909061
/Volumes/Backup Plus/ds/autonomous_cars/KITTI/data_object_image_2/training/image_2/006480.png,0.0
/Volumes/Backup Plus/ds/autonomous_cars/KITTI/data_object_image_2/training/image_2/005823.png,10.270844763153182
/Volumes/Backup Plus/ds/autonomous_cars/KITTI/data_object_image_2/training/image_2/002195.png,20.97453714213747
/Volumes/Backup Plus/ds/autonomous_cars/KITTI/data_object_image_2/training/image_2/005836.png,16.979496837639182
/Volumes/Backup Plus/ds/autonomous_cars/KITTI/data_object_image_2/training/image_2/005188.png,15.510846153869199
/Volumes/Backup Plus/ds/autonomous_cars/KITTI/data_object_image_2/training/image_2/002817.png,13.235944716056984
/Volumes/Backup Plus/ds/autonomous_cars/KITTI/data_object_image_2/training/image_2/002630.png,11.720976675357065
/Volumes/Backup Plus/ds/autonomous_cars/KITTI/data_object_image_2/training/image_2/004241.png,11.613444888581252
/Volumes/Backup Plus/ds/autonomous_cars/KITTI/data_object_image_2/training/image_2/003248.png,11.39827744012182
/Volumes/Backup Plus/ds/autonomous_cars/KITTI/data_object_image_2/training/image_2/002156.png,37.493265299812826
/Volumes/Backup Plus/ds/autonomous_cars/KITTI/data_object_image_2/training/image_2/005639.png,17.953220821282347
/Volumes/Backup Plus/ds/autonomous_cars/KITTI/data_object_image_2/training/image_2/000999.png,12.757449710814656
/Volumes/Backup Plus/ds/autonomous_cars/KITTI/data_object_image_2/training/image_2/000741.png,19.986423784558347
/Volumes/Backup Plus/ds/autonomous_cars/KITTI/data_object_image_2/training/image_2/004533.png,21.425478834673367
/Volumes/Backup Plus/ds/autonomous_cars/KITTI/data_object_image_2/training/image_2/002142.png,9.245277110961514
/Volumes/Backup Plus/ds/autonomous_cars/KITTI/data_object_image_2/training/image_2/002624.png,11.398255681646484
/Volumes/Backup Plus/ds/autonomous_cars/KITTI/data_object_image_2/training/image_2/005163.png,18.825752955066502
/Volumes/Backup Plus/ds/autonomous_cars/KITTI/data_object_image_2/training/image_2/001305.png,20.09581145492401
/Volumes/Backup Plus/ds/autonomous_cars/KITTI/data_object_image_2/training/image_2/005605.png,12.483557451692048
/Volumes/Backup Plus/ds/autonomous_cars/KITTI/data_object_image_2/training/image_2/003260.png,11.12965104898563
/Volumes/Backup Plus/ds/autonomous_cars/KITTI/data_object_image_2/training/image_2/006318.png,0.0
/Volumes/Backup Plus/ds/autonomous_cars/KITTI/data_object_image_2/training/image_2/001477.png,0.0
/Volumes/Backup Plus/ds/autonomous_cars/KITTI/data_object_image_2/training/image_2/000769.png,-1.0
/Volumes/Backup Plus/ds/autonomous_cars/KITTI/data_object_image_2/training/image_2/002397.png,23.26282831671505
/Volumes/Backup Plus/ds/autonomous_cars/KITTI/data_object_image_2/training/image_2/003923.png,24.67907974162703
/Volumes/Backup Plus/ds/autonomous_cars/KITTI/data_object_image_2/training/image_2/004094.png,17.548645811195236
/Volumes/Backup Plus/ds/autonomous_cars/KITTI/data_object_image_2/training/image_2/006873.png,0.0
/Volumes/Backup Plus/ds/autonomous_cars/KITTI/data_object_image_2/training/image_2/000543.png,9.173228044264079
/Volumes/Backup Plus/ds/autonomous_cars/KITTI/data_object_image_2/training/image_2/006132.png,5.848232638012897
/Volumes/Backup Plus/ds/autonomous_cars/KITTI/data_object_image_2/training/image_2/004725.png,5.741168010003553
/Volumes/Backup Plus/ds/autonomous_cars/KITTI/data_object_image_2/training/image_2/002432.png,14.145603828946362
/Volumes/Backup Plus/ds/autonomous_cars/KITTI/data_object_image_2/training/image_2/000225.png,17.482838447107223
/Volumes/Backup Plus/ds/autonomous_cars/KITTI/data_object_image_2/training/image_2/006640.png,22.685643770523125
/Volumes/Backup Plus/ds/autonomous_cars/KITTI/data_object_image_2/training/image_2/004731.png,17.068939570342692
